公司名,工商注册级别,注册地址变更信息,增资情况,股权变动,控股,成立年限,注册专业人员信息,法定代表人稳定性,对外投资,所处行业地位,企业规模,工程获奖情况,公共信用记录,工程领域不良记录(严重),工程领域不良记录(一般),法院信用记录,中标数量,主要市场区域,项目规模,主项资质,增项资质,知识产权情况,财务,社会评价,信用评分
浙江恒力建设有限公司,2,0,0,0,2,14,116,2,4,0,2,11,1,1,16,0,693,0,63,2,6,1,0,21,590
浙江中成建工集团有限公司,2,2,0,0,2,22,344,0,13,0,1,118,0,2,40,0,424,1,49,1,15,13,0,128,681
浙江世贸装饰股份有限公司,2,0,0,0,3,19,117,0,,0,2,17,0,0,4,0,452,1,71,2,6,0,0,17,606
浙江浙大中控信息技术有限公司,2,0,0,0,0,18,85,0,,0,2,0,0,0,2,0,422,1,65,2,6,0,0,0,478
浙江工力建设有限公司,2,0,0,0,3,17,111,0,4,0,2,1,0,0,0,0,373,1,11,2,6,0,0,7,650
浙江协和建设有限公司,2,0,0,0,0,17,100,0,,0,2,0,0,0,4,0,295,1,29,2,6,0,0,0,497
浙江大禹建设有限公司,2,0,0,0,3,16,53,0,,0,3,0,0,0,3,0,276,1,12,3,2,0,0,10,552
浙江绿洲生态股份有限公司,2,0,0,0,2,18,51,0,1,0,2,1,0,0,3,0,238,1,11,2,9,0,0,7,594
浙江海兴建筑有限公司,2,0,0,0,3,25,88,0,3,0,2,5,0,2,10,0,249,0,5,2,7,0,0,7,533
浙江崇德建设有限公司,2,0,0,0,3,11,56,0,,0,3,0,5,0,4,0,275,1,7,3,7,0,0,4,462
浙江中联建工集团有限公司,2,0,0,0,0,0,0,0,,0,0,14,0,0,51,0,205,0,10,0,0,3,0,14,318
浙江华宁建设有限公司,2,0,0,0,3,15,35,0,,0,3,0,0,0,0,0,193,1,5,3,4,0,0,5,612
浙江嘉禾建设有限公司,2,0,0,0,3,19,73,0,,0,2,0,0,0,3,0,177,3,6,2,6,0,0,7,544
浙江新中源建设有限公司,2,0,0,0,3,17,115,0,6,0,2,15,0,0,2,0,183,1,45,2,10,6,0,24,692
浙江盛开建设有限公司,2,0,0,0,3,11,45,0,,0,3,0,0,1,4,0,193,3,19,3,4,0,0,0,457
浙江南湖建设有限公司,2,0,0,0,0,13,76,0,,0,2,7,0,0,4,0,164,1,7,2,9,0,0,7,574
浙江交通设施有限公司,2,0,0,0,3,15,21,0,,0,2,0,0,0,2,0,154,1,10,2,3,0,0,0,393
浙江宏图建筑工程有限公司,2,0,0,0,0,18,83,0,2,0,2,1,0,1,5,0,155,1,23,2,6,0,0,6,506
浙江云龙建设有限公司,2,0,0,0,3,19,40,0,3,0,3,0,0,0,0,0,157,3,8,3,4,0,0,6,598
浙江长兴市政工程有限公司,2,0,0,0,3,24,38,0,2,0,2,1,0,0,0,0,139,0,2,2,4,0,0,10,631
浙江海安建设有限公司,2,0,0,0,3,16,35,0,2,0,3,0,0,0,3,0,139,1,12,3,5,0,0,7,576
浙江海洋工程有限公司,2,0,0,0,3,16,34,0,,0,3,0,0,0,2,0,132,1,10,3,4,0,0,0,548
浙江海丰建设有限公司,2,0,0,0,3,14,46,0,,0,3,1,0,0,1,0,133,1,4,3,5,0,0,6,597
浙江勤业建工集团有限公司,2,0,0,0,0,20,160,0,12,0,1,31,0,0,28,0,122,0,12,1,11,5,0,41,591
浙江中强建工集团有限公司,2,0,0,0,0,22,83,0,8,0,2,3,0,0,2,0,114,0,4,2,8,1,0,7,609
浙江安达系统工程有限公司,2,0,0,0,3,18,37,0,4,0,2,1,0,0,1,0,118,1,17,2,6,0,0,3,611
浙江宏伟建筑工程有限公司,2,0,0,0,0,24,54,0,1,0,2,4,0,0,4,0,108,3,11,2,6,0,0,14,516
浙江繁荣建设有限公司,2,0,0,0,3,18,39,0,,0,2,0,0,0,12,0,107,0,4,2,6,0,0,4,454
浙江深华新生态建设发展有限公司,2,0,0,0,2,21,23,0,1,0,2,1,0,0,2,0,96,3,0,2,7,0,0,11,584
浙江东南网架股份有限公司,2,0,0,0,1,16,57,0,13,0,2,46,0,0,8,0,100,1,21,2,5,67,0,56,664
浙江中柱建设有限公司,2,0,0,0,3,18,56,0,,0,3,4,0,0,13,0,107,1,1,3,8,0,0,6,513
浙江亚卫通科技有限公司,2,0,0,0,0,16,54,0,2,0,2,0,0,0,3,0,90,1,13,2,6,2,0,1,582
浙江东宁建设有限公司,2,0,0,0,2,18,34,0,,0,3,0,0,0,2,0,86,3,8,3,1,0,0,0,502
浙江大都市装饰有限公司,2,0,0,0,2,23,21,0,,0,2,2,0,0,0,0,87,3,2,2,3,0,0,2,581
浙江天宇建设有限公司,2,0,0,0,3,16,35,0,,0,3,0,0,0,1,0,93,3,4,3,6,0,0,10,582
浙江国光建筑工程有限公司,2,0,0,0,3,16,45,0,,0,3,0,0,4,1,0,89,3,9,3,5,0,0,2,497
浙江海马建设有限公司,2,0,0,0,3,11,37,0,,0,3,0,0,0,0,0,90,1,2,3,7,0,0,8,613
浙江森禾种业股份有限公司,2,0,0,0,2,17,43,0,10,0,2,7,0,0,0,0,86,1,12,2,5,12,0,17,762
浙江大丰实业股份有限公司,2,0,0,0,3,15,27,0,8,0,2,1,0,0,0,0,83,1,20,2,3,56,0,11,695
浙江新港市政工程有限公司,2,0,0,0,3,0,26,0,,0,4,0,0,0,0,0,88,1,2,4,3,0,0,0,554
浙江繁华建筑有限公司,2,0,0,0,3,30,30,0,1,0,2,0,0,0,1,0,73,3,3,2,5,0,0,4,546
浙江上风建设有限公司,2,0,0,0,3,17,29,0,,0,3,0,0,0,3,0,74,3,0,3,6,0,0,10,537
浙江合力建设有限公司,2,0,0,0,2,20,17,0,1,0,3,0,0,0,0,0,78,3,0,3,3,0,0,9,594
浙江大华系统工程有限公司,2,0,0,0,1,0,8,0,2,0,3,0,0,0,0,0,93,1,16,3,2,10,0,10,699
浙江宝石建设有限责任公司,2,0,0,0,3,19,31,0,,0,2,0,0,0,1,0,72,3,1,2,4,0,0,6,549
浙江东源建设有限公司,2,0,0,0,3,16,66,0,1,0,2,2,0,0,2,0,72,0,9,2,7,1,0,8,556
浙江中宁建设有限公司,2,0,0,0,3,20,30,0,1,0,3,2,0,0,1,0,88,0,5,3,6,0,0,2,539
浙江新城建设有限公司,2,0,0,0,0,15,37,0,,0,2,1,0,0,0,0,82,1,7,2,4,0,0,1,559
浙江新世界装饰有限公司,2,0,0,0,3,23,30,0,2,0,2,0,0,0,2,0,71,2,5,2,8,0,0,7,570
浙江盛业建设有限公司,2,0,0,0,2,16,52,0,,0,2,14,0,0,4,0,86,1,10,2,5,0,0,19,587
浙江天下建设有限公司,2,0,0,0,3,15,34,0,,0,2,0,0,0,0,0,66,1,7,2,8,0,0,5,592
浙江宏力阳生态建设股份有限公司,2,0,0,0,3,14,21,0,1,0,3,0,0,0,1,0,77,1,5,3,9,5,0,5,624
浙江明德建设有限公司,2,0,0,0,3,14,60,0,2,0,2,3,0,0,0,0,70,1,5,2,5,1,0,7,636
浙江青川装饰有限公司,2,0,0,0,3,19,15,0,1,0,2,3,0,0,0,0,64,1,3,2,5,0,0,11,653
浙江东来装潢有限公司,2,0,0,0,3,16,18,0,,0,2,2,0,0,0,0,62,1,1,2,6,0,0,5,616
浙江交建路桥工程有限公司,2,0,0,0,3,13,21,0,,0,3,1,0,0,0,0,60,0,2,3,5,0,0,1,572
浙江枫叶建设有限公司,2,0,0,0,3,14,46,0,,0,2,0,0,0,0,0,64,0,7,2,5,0,0,5,577
浙江海滨市政工程有限公司,2,0,0,0,3,25,31,0,,0,2,0,0,0,7,0,58,3,3,2,1,0,0,0,402
浙江三门市政工程有限公司,2,0,0,0,3,23,17,0,,0,3,0,0,0,0,0,65,0,0,3,3,0,0,1,533
浙江银河建筑工程有限公司,2,0,0,0,3,17,37,0,2,0,2,0,0,6,4,0,59,0,0,2,5,0,0,4,443
浙江高荣琪青建设有限公司,2,0,0,0,3,22,46,0,1,0,2,1,0,0,1,0,63,0,9,2,8,0,0,1,541
浙江普天园林建筑发展有限公司,2,0,0,0,0,18,40,0,,0,2,7,0,0,1,0,63,1,9,2,8,0,0,7,632
浙江顺风建筑工程有限公司,2,0,0,0,3,0,35,0,,0,3,0,0,0,1,0,62,1,9,3,6,0,0,2,562
浙江永胜建设有限公司,2,0,0,0,3,16,20,0,,0,3,0,0,0,2,0,53,3,1,3,4,0,0,3,527
浙江时尚工程有限公司,2,0,0,0,0,12,14,0,,0,2,3,0,0,0,0,50,3,2,2,6,0,0,3,581
浙江安吉市政工程有限公司,2,0,0,0,3,32,20,0,1,0,3,0,0,0,0,0,51,1,1,3,2,0,0,5,570
浙江华冶矿建集团有限公司,2,0,0,0,1,35,23,0,4,0,2,0,0,0,1,0,50,3,1,2,1,0,0,3,545
浙江宁远建设有限公司,2,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,49,1,3,0,0,0,0,0,296
浙江桃源园林有限公司,2,0,0,0,3,17,20,0,,0,3,1,0,0,2,0,54,1,2,3,1,0,0,6,513
浙江兆久成信息技术股份有限公司,2,0,0,0,3,0,26,0,1,0,2,0,0,0,0,0,59,1,1,2,6,11,0,5,673
浙江土木建设有限公司,2,0,0,0,0,18,49,0,,0,2,0,0,0,2,0,49,3,9,2,3,0,0,0,489
浙江宜丰建设有限公司,2,0,0,0,3,19,10,0,,0,3,0,0,0,0,0,46,3,0,3,6,0,0,0,517
浙江广昌建筑有限公司,2,0,0,0,3,23,38,0,1,0,3,0,0,0,0,0,48,3,0,3,6,0,0,1,544
浙江鼎盛建筑工程有限公司,2,0,0,0,3,18,37,0,,0,3,0,0,0,5,0,49,0,5,3,4,2,0,9,517
浙江红叶园艺有限公司,2,0,0,0,3,19,29,0,1,0,2,2,0,0,0,0,46,0,3,2,5,1,0,5,644
浙江金华兴泰建工有限公司,3,0,0,0,3,0,19,0,,0,3,0,0,0,0,0,50,1,6,3,7,0,0,0,549
浙江五岳市政工程有限公司,2,0,0,0,3,12,23,0,,0,3,0,0,0,0,0,58,0,1,3,6,0,0,0,558
浙江永安消防有限公司,2,0,0,0,3,22,13,0,1,0,2,0,0,0,1,0,47,2,0,2,4,0,0,4,551
浙江新华建设有限公司,2,0,0,0,3,21,61,0,,0,2,13,0,0,3,0,52,1,22,2,7,4,0,23,694
浙江联谊建筑工程有限公司,2,0,0,0,3,23,27,0,1,0,3,0,0,0,1,0,48,3,3,3,3,0,0,6,549
浙江蓝天建设有限公司,2,0,0,0,3,17,23,0,,0,3,0,0,0,5,0,43,1,1,3,6,0,0,9,507
浙江富顺建设有限公司,2,0,0,0,3,18,24,0,,0,3,0,0,0,0,0,47,3,1,3,3,0,0,2,547
浙江人文园林有限公司,2,0,0,0,3,17,26,0,,0,2,10,0,0,0,0,49,0,4,2,4,0,0,10,667
浙江金卡实业有限公司,2,0,0,0,3,17,29,0,1,0,2,0,0,0,0,0,49,1,3,2,2,1,0,1,595
浙江自强建筑工程有限公司,2,0,0,0,3,13,25,0,1,0,3,0,0,0,1,0,43,3,3,3,2,0,0,1,524
浙江天池市政建设有限公司,2,0,0,0,3,13,10,0,,0,4,0,0,0,0,0,40,1,2,4,1,0,0,0,536
浙江伟业建设有限公司,2,0,0,0,3,12,42,0,,0,2,0,0,0,1,0,39,3,2,2,6,0,0,10,509
浙江吉安安装有限公司,3,0,0,0,3,19,23,0,2,0,2,1,0,0,2,0,38,2,0,2,5,0,0,2,535
浙江普宁市政工程有限公司,2,0,0,0,3,0,13,0,,0,3,0,0,0,0,0,42,1,5,3,1,0,0,0,526
浙江树人建设有限公司,2,0,0,0,0,0,21,0,,0,3,0,0,0,0,0,36,3,0,3,3,0,0,0,516
浙江宏图科技有限公司,2,0,0,0,3,17,23,0,,0,2,0,0,0,1,0,43,0,1,2,8,0,0,10,593
浙江正隆建设有限公司,2,0,0,0,3,13,21,0,,0,3,0,0,0,0,0,33,3,0,3,4,0,0,1,542
浙江群宇翔建设有限公司,2,0,0,0,0,0,20,0,,0,3,0,0,0,2,0,48,0,3,3,11,0,0,0,467
